# k	Pk_270	Pk_226
1.005822e-02	2.787426e+10	1.915071e+09
3.017467e-02	1.861986e+09	1.205238e+08
5.029112e-02	6.844130e+08	6.184124e+07
7.040757e-02	4.127695e+08	3.740559e+07
9.052402e-02	2.749937e+08	2.751025e+07
1.106405e-01	1.988223e+08	1.727528e+07
1.307569e-01	1.578226e+08	1.387317e+07
1.508734e-01	1.266518e+08	1.125988e+07
1.709898e-01	1.083744e+08	9.684088e+06
1.911063e-01	9.146085e+07	8.367110e+06
2.112227e-01	7.976965e+07	7.370679e+06
2.313392e-01	7.152917e+07	6.474802e+06
2.514556e-01	6.424042e+07	5.918666e+06
2.715720e-01	5.773757e+07	5.411829e+06
2.916885e-01	5.304947e+07	4.963690e+06
3.118049e-01	4.897355e+07	4.661877e+06
3.319214e-01	4.546101e+07	4.266161e+06
3.520378e-01	4.225474e+07	4.042845e+06
3.721543e-01	3.996011e+07	3.802550e+06
3.922707e-01	3.708804e+07	3.604341e+06
4.123872e-01	3.504659e+07	3.441663e+06
4.325036e-01	3.342631e+07	3.272100e+06
4.526201e-01	3.173693e+07	3.167826e+06
4.727365e-01	3.046105e+07	3.030574e+06
4.928530e-01	2.926601e+07	2.902921e+06
5.129694e-01	2.810954e+07	2.772173e+06
5.330859e-01	2.690475e+07	2.682398e+06
5.532023e-01	2.601131e+07	2.609863e+06
5.733188e-01	2.513398e+07	2.532070e+06
5.934352e-01	2.445008e+07	2.459133e+06
6.135517e-01	2.373636e+07	2.378851e+06
6.336681e-01	2.282240e+07	2.311820e+06
6.537846e-01	2.220287e+07	2.265366e+06
6.739010e-01	2.167127e+07	2.184758e+06
6.940175e-01	2.108965e+07	2.138298e+06
7.141339e-01	2.044053e+07	2.094158e+06
7.342504e-01	2.013313e+07	2.059672e+06
7.543668e-01	1.962671e+07	2.019506e+06
7.744833e-01	1.935500e+07	1.971161e+06
7.945997e-01	1.884101e+07	1.943619e+06
8.147161e-01	1.850537e+07	1.912830e+06
8.348326e-01	1.802477e+07	1.871430e+06
8.549490e-01	1.780565e+07	1.831593e+06
8.750655e-01	1.755186e+07	1.805049e+06
8.951819e-01	1.707758e+07	1.776046e+06
9.152984e-01	1.679632e+07	1.751405e+06
9.354148e-01	1.662543e+07	1.729596e+06
9.555313e-01	1.631516e+07	1.700280e+06
9.756477e-01	1.612531e+07	1.684019e+06
9.957642e-01	1.584096e+07	1.642128e+06
1.015881e+00	1.571338e+07	1.630951e+06
1.035997e+00	1.545019e+07	1.604348e+06
1.056114e+00	1.521548e+07	1.592883e+06
1.076230e+00	1.496835e+07	1.579277e+06
1.096346e+00	1.488736e+07	1.549016e+06
1.116463e+00	1.456279e+07	1.537723e+06
1.136579e+00	1.444771e+07	1.515883e+06
1.156696e+00	1.435164e+07	1.495259e+06
1.176812e+00	1.418131e+07	1.480787e+06
1.196929e+00	1.402491e+07	1.488354e+06
1.217045e+00	1.385324e+07	1.450193e+06
1.237162e+00	1.375983e+07	1.445321e+06
1.257278e+00	1.357331e+07	1.426263e+06
1.277394e+00	1.353510e+07	1.422702e+06
1.297511e+00	1.337814e+07	1.404097e+06
1.317627e+00	1.319452e+07	1.388375e+06
1.337744e+00	1.308292e+07	1.379989e+06
1.357860e+00	1.299954e+07	1.370504e+06
1.377977e+00	1.286790e+07	1.355990e+06
1.398093e+00	1.276833e+07	1.360913e+06
1.418210e+00	1.270697e+07	1.341825e+06
1.438326e+00	1.262774e+07	1.323711e+06
1.458442e+00	1.250127e+07	1.320151e+06
1.478559e+00	1.240956e+07	1.307469e+06
1.498675e+00	1.233288e+07	1.291532e+06
1.518792e+00	1.226967e+07	1.282449e+06
1.538908e+00	1.215985e+07	1.281310e+06
1.559025e+00	1.204491e+07	1.277031e+06
1.579141e+00	1.201302e+07	1.265489e+06
1.599258e+00	1.190843e+07	1.262568e+06
1.619374e+00	1.184449e+07	1.248940e+06
1.639491e+00	1.178797e+07	1.242649e+06
1.659607e+00	1.171153e+07	1.229917e+06
1.679723e+00	1.167503e+07	1.234395e+06
1.699840e+00	1.156445e+07	1.218858e+06
1.719956e+00	1.154931e+07	1.215437e+06
1.740073e+00	1.146687e+07	1.210685e+06
1.760189e+00	1.135909e+07	1.204900e+06
1.780306e+00	1.125653e+07	1.198170e+06
1.800422e+00	1.130290e+07	1.188421e+06
1.820539e+00	1.123243e+07	1.180783e+06
1.840655e+00	1.117047e+07	1.178448e+06
1.860771e+00	1.113360e+07	1.168137e+06
1.880888e+00	1.108655e+07	1.166835e+06
1.901004e+00	1.097656e+07	1.163048e+06
1.921121e+00	1.094801e+07	1.155878e+06
1.941237e+00	1.094313e+07	1.148223e+06
1.961354e+00	1.087973e+07	1.146486e+06
1.981470e+00	1.077811e+07	1.136749e+06
2.001587e+00	1.077309e+07	1.134609e+06
2.021703e+00	1.070081e+07	1.134161e+06
2.041819e+00	1.071826e+07	1.121701e+06
2.061936e+00	1.072386e+07	1.127967e+06
2.082052e+00	1.060647e+07	1.122993e+06
2.102169e+00	1.060454e+07	1.110911e+06
2.122285e+00	1.056169e+07	1.109575e+06
2.142402e+00	1.045394e+07	1.106229e+06
2.162518e+00	1.051581e+07	1.101996e+06
2.182635e+00	1.045320e+07	1.102743e+06
2.202751e+00	1.039700e+07	1.097193e+06
2.222868e+00	1.035650e+07	1.088249e+06
2.242984e+00	1.037650e+07	1.089464e+06
2.263100e+00	1.027263e+07	1.078603e+06
2.283217e+00	1.029764e+07	1.077177e+06
2.303333e+00	1.025748e+07	1.075947e+06
2.323450e+00	1.017501e+07	1.069191e+06
2.343566e+00	1.016189e+07	1.068534e+06
2.363683e+00	1.015318e+07	1.064875e+06
2.383799e+00	1.014016e+07	1.060191e+06
2.403916e+00	1.009675e+07	1.058028e+06
2.424032e+00	1.007163e+07	1.056434e+06
2.444148e+00	1.004430e+07	1.059204e+06
2.464265e+00	1.007077e+07	1.052564e+06
2.484381e+00	1.000399e+07	1.042287e+06
2.504498e+00	9.979866e+06	1.046340e+06
2.524614e+00	9.994844e+06	1.047538e+06
2.544731e+00	9.897299e+06	1.039293e+06
2.564847e+00	9.952337e+06	1.037447e+06
2.584964e+00	9.895303e+06	1.034516e+06
2.605080e+00	9.874195e+06	1.032156e+06
2.625196e+00	9.865648e+06	1.029362e+06
2.645313e+00	9.832151e+06	1.030451e+06
2.665429e+00	9.796194e+06	1.026829e+06
2.685546e+00	9.794690e+06	1.023906e+06
2.705662e+00	9.799519e+06	1.018758e+06
2.725779e+00	9.791898e+06	1.018531e+06
2.745895e+00	9.788414e+06	1.016636e+06
2.766012e+00	9.705153e+06	1.019073e+06
2.786128e+00	9.729033e+06	1.012090e+06
2.806245e+00	9.718741e+06	1.012921e+06
2.826361e+00	9.700038e+06	1.011863e+06
2.846477e+00	9.672172e+06	1.009649e+06
2.866594e+00	9.701912e+06	1.005954e+06
2.886710e+00	9.664378e+06	1.009615e+06
2.906827e+00	9.659727e+06	1.006898e+06
2.926943e+00	9.634437e+06	1.001553e+06
2.947060e+00	9.589082e+06	9.993038e+05
2.967176e+00	9.559570e+06	1.001811e+06
2.987293e+00	9.551936e+06	9.994387e+05
3.007409e+00	9.550496e+06	9.962050e+05
3.027525e+00	9.593060e+06	9.976236e+05
3.047642e+00	9.536475e+06	9.908740e+05
3.067758e+00	9.499763e+06	9.927493e+05
3.087875e+00	9.525612e+06	9.924464e+05
3.107991e+00	9.507104e+06	9.903547e+05
3.128108e+00	9.532466e+06	9.875474e+05
